,一部事務組合等コード表（令和７年10月23日現在）,,,,,,,
,コード,一部事務組合等の名称,ふりがな,設立年月日,郵便番号,所在地,電話番号,
,,,,,,,,
,018015,日高中部広域連合,ひだかちゅうぶこういきれんごう,平成14年4月12日,0560017,北海道日高郡新ひだか町静内御幸町3丁目2番50号,0146425103,
,018023,北海道市町村総合事務組合,ほっかいどうしちょうそんそうごうじむくみあい,平成7年4月1日,0600004,北海道札幌市中央区北4条西6丁目自治会館6階町村会内,0112417210,
,018031,南空知葬斎組合,みなみそらちそうさいくみあい,平成9年4月1日,0691311,北海道夕張郡長沼町字フシコ7790番地,0123881390,
,018040,桂沢水道企業団,かつらざわすいどうきぎょうだん,昭和30年12月20日,0682102,北海道三笠市西桂沢408番地1,0126768559,
,018058,北海道市町村備荒資金組合,ほっかいどうしちょうそんびこうしきんくみあい,昭和31年2月1日,0600004,北海道札幌市中央区北4条西6丁目自治会館5Ｆ,0112310634,
,018074,北海道市町村職員退職手当組合,ほっかいどうしちょうそんしょくいんたいしょくてあてくみあい,昭和32年1月23日,0600004,北海道札幌市中央区北4条西6丁目2番地,0112321361,
,018104,北後志衛生施設組合,きたしりべしえいせいしせつくみあい,昭和36年9月26日,0460002,北海道余市郡余市町登町136番地,0135224489,
,018121,空知中部広域連合,そらちちゅうぶこういきれんごう,平成10年7月6日,0790313,北海道奈井江町字奈井江10番地28,0125662152,
,018139,根室北部廃棄物処理広域連合,ねむろほくぶはいきぶつしょりこういきれんごう,平成14年7月19日,0860216,北海道野付郡別海町別海13番地の5,0153795550,
,018155,後志広域連合,しりべしこういきれんごう,平成19年4月24日,0448588,北海道虻田郡倶知安町北1条東2丁目　後志合同庁舎車庫棟2階,0136558010,
,018163,とかち広域消防事務組合,とかちこういきしょうぼうじむくみあい,平成27年5月1日,0800016,北海道帯広市西６条南６丁目３番地１,0155260119,
,018198,名寄地区衛生施設事務組合,なよろちくえいせいしせつじむくみあい,昭和39年1月13日,0960065,北海道名寄市字大橋140番地1,0165429090,
,018236,富良野広域連合,ふらのこういきれんごう,平成20年9月1日,0760023,北海道富良野市栄町18番20号　富良野消防署内,0167391221,
,018244,釧路・根室広域地方税滞納整理機構,くしろねむろこういきちほうぜいたいのうせいりきこう,平成19年4月1日,0858588,北海道釧路市浦見2丁目2番54号　釧路総合振興局庁舎内,0154439288,
,018279,大雪浄化組合,たいせつじょうかくみあい,昭和40年1月19日,0780310,北海道上川郡比布町基線14号,0166852580,
